epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.808,2.1182,3.17304,2.13721,0.42131,0.33499,0.35375,0.14126,1.64353,2.99185,1.84111,0.00054956,0.00054956,0.00054956
2,315.453,1.59044,2.01275,1.61332,0.70913,0.73494,0.75863,0.34867,1.92005,2.28094,2.25081,0.00109155,0.00109155,0.00109155
3,468.073,1.43881,1.70074,1.49094,0.78123,0.79979,0.81311,0.50503,1.4547,1.84289,1.81032,0.00161979,0.00161979,0.00161979
4,615.636,1.37374,1.46316,1.45105,0.91628,0.93154,0.94833,0.57432,1.34294,1.50544,1.67657,0.00160511,0.00160511,0.00160511
5,764.594,1.31169,1.34242,1.34955,0.88269,0.868,0.87667,0.5092,1.42997,1.37116,1.71282,0.00158448,0.00158448,0.00158448
6,927.096,1.20364,1.15616,1.29119,0.95845,0.94505,0.97618,0.65187,1.31871,1.10523,1.6617,0.00156385,0.00156385,0.00156385
7,1085.47,1.18003,1.10066,1.268,0.98372,0.96978,0.98907,0.72436,1.10652,0.89187,1.42623,0.00154323,0.00154323,0.00154323
8,1251.47,1.11379,0.99586,1.23702,0.97934,0.8113,0.9403,0.69083,1.17693,1.14601,1.42561,0.0015226,0.0015226,0.0015226
9,1402.59,1.06555,0.92369,1.21187,0.98979,0.96978,0.98885,0.73996,1.06141,0.85714,1.42757,0.00150197,0.00150197,0.00150197
10,1564.51,1.03596,0.86837,1.19344,0.98278,0.96071,0.98048,0.70497,1.24068,0.81534,1.54849,0.00148134,0.00148134,0.00148134
11,1716.89,1.06045,0.82874,1.18914,0.9736,0.97834,0.99247,0.77509,0.93768,0.66126,1.35547,0.00146071,0.00146071,0.00146071
12,1873.02,1.0023,0.78712,1.16455,0.99581,0.95604,0.99043,0.8086,0.87991,0.69316,1.35211,0.00144008,0.00144008,0.00144008
13,2028.29,0.99,0.78288,1.1568,0.97347,0.98077,0.99313,0.81173,0.83003,0.61611,1.30852,0.00141945,0.00141945,0.00141945
14,2185.82,0.93017,0.72513,1.13301,0.99758,0.9779,0.99388,0.83825,0.72074,0.58955,1.21514,0.00139882,0.00139882,0.00139882
15,2339.78,0.91967,0.69704,1.11925,0.97539,0.97655,0.99145,0.83117,0.80901,0.64129,1.27454,0.00137819,0.00137819,0.00137819
16,2494.62,0.88185,0.67682,1.09635,0.98881,0.99229,0.99463,0.84169,0.75548,0.52909,1.29835,0.00135756,0.00135756,0.00135756
17,2654.38,0.93274,0.66187,1.10979,0.99765,0.97802,0.99344,0.83162,0.71289,0.55282,1.22235,0.00133693,0.00133693,0.00133693
18,2813.13,0.91454,0.64127,1.09243,0.98789,0.98333,0.99486,0.82864,0.78335,0.52954,1.25299,0.0013163,0.0013163,0.0013163
19,2970.2,0.86568,0.60449,1.0728,0.99217,0.99598,0.99492,0.7971,0.89344,0.4971,1.2701,0.00129568,0.00129568,0.00129568
20,3116.98,0.81199,0.59329,1.05375,0.99725,0.98077,0.99366,0.81535,0.83954,0.54613,1.24974,0.00127505,0.00127505,0.00127505
21,3265.8,0.86988,0.61371,1.07586,0.99554,0.98901,0.99475,0.8456,0.68447,0.49614,1.22597,0.00125442,0.00125442,0.00125442
22,3419.44,0.7925,0.58616,1.04412,0.96042,0.96703,0.98601,0.7923,0.89013,0.65069,1.34303,0.00123379,0.00123379,0.00123379
23,3566.99,0.76258,0.55765,1.02266,0.99095,0.98913,0.99478,0.85182,0.75081,0.497,1.24409,0.00121316,0.00121316,0.00121316
24,3715.83,0.80499,0.56407,1.04056,0.99775,0.99451,0.99492,0.86461,0.74851,0.42383,1.24122,0.00119253,0.00119253,0.00119253
25,3871,0.76695,0.54019,1.03261,0.99128,0.99176,0.99421,0.85395,0.72881,0.52123,1.20747,0.0011719,0.0011719,0.0011719
26,4018.31,0.76794,0.54222,1.03607,0.99153,0.97527,0.99279,0.89347,0.59778,0.49831,1.16997,0.00115127,0.00115127,0.00115127
27,4177.01,0.76181,0.54244,1.03537,0.99816,0.99383,0.99487,0.84584,0.72671,0.41796,1.1977,0.00113064,0.00113064,0.00113064
28,4332.84,0.77123,0.53455,1.03738,0.99359,0.99007,0.99476,0.89257,0.59117,0.45491,1.164,0.00111001,0.00111001,0.00111001
29,4489.82,0.73448,0.52877,1.02088,0.99303,0.99451,0.99492,0.81888,0.82796,0.44015,1.2628,0.00108938,0.00108938,0.00108938
30,4648.38,0.75688,0.53116,1.01353,0.99784,0.99451,0.99492,0.86755,0.69329,0.42888,1.21927,0.00106876,0.00106876,0.00106876
31,4795.76,0.75276,0.50239,1.00717,0.99736,0.99451,0.99495,0.89729,0.58774,0.37469,1.1511,0.00104813,0.00104813,0.00104813
32,4943.74,0.71342,0.48407,0.98995,0.99251,0.99648,0.99486,0.87461,0.70907,0.43428,1.17802,0.0010275,0.0010275,0.0010275
33,5095.09,0.66775,0.46618,0.97596,0.99853,0.99451,0.99495,0.89442,0.58123,0.35796,1.15906,0.00100687,0.00100687,0.00100687
34,5250.78,0.66326,0.4664,0.97491,0.99793,0.99681,0.995,0.8896,0.59654,0.36028,1.15044,0.000986239,0.000986239,0.000986239
35,5628.94,0.67499,0.46643,0.9919,0.99463,0.99451,0.99475,0.89265,0.57879,0.41961,1.16968,0.00096561,0.00096561,0.00096561
36,5782.32,0.62934,0.44702,0.97517,0.99009,0.99425,0.99457,0.90564,0.55435,0.38954,1.16473,0.000944981,0.000944981,0.000944981
